RecordingTimestamp	GazePointIndex	GazePointXLeft	GazePointYLeft	CamX(L)	CamY(L)	DistanceLeft	Pupil(L)	Validity(L)	GazePointXRight	GazePointYRight	CamX(R)	CamY(R)	DistanceRight	Pupil(R)	Validity(R)	Fixation	GazePointX	GazePointY	Event	EventKey	Data 1	Data 2	Description
367	19	596	729	0.673	0.269	666.306	4.851	0	600	766	0.391	0.268	655.709	4.612	0	2	604	755	 	 	 	 	 
387	20	610	748	0.673	0.269	666.306	4.913	0	605	765	0.391	0.268	655.709	4.569	0	2	604	755	 	 	 	 	 
407	21	604	743	0.673	0.269	666.306	4.861	0	613	765	0.391	0.269	655.709	4.576	0	2	604	755	 	 	 	 	 
427	22	599	766	0.673	0.269	667.296	4.841	0	614	767	0.391	0.269	655.607	4.57	0	2	604	755	 	 	 	 	 
447	23	596	721	0.673	0.269	667.296	4.865	0	600	773	0.391	0.269	655.607	4.505	0	2	604	755	 	 	 	 	 
467	24	593	729	0.673	0.269	667.296	4.891	0	609	771	0.391	0.269	655.607	4.481	0	2	604	755	 	 	 	 	 
487	25	606	749	0.673	0.27	667.296	4.826	0	588	774	0.391	0.269	655.607	4.48	0	2	604	755	 	 	 	 	 
507	26	605	748	0.673	0.27	667.296	4.844	0	614	771	0.391	0.269	655.607	4.471	0	2	604	755	 	 	 	 	 
527	27	608	759	0.673	0.27	667.846	4.843	0	614	771	0.391	0.269	654.936	4.451	0	2	604	755	 	 	 	 	 
546	28	608	732	0.673	0.27	667.846	4.827	0	614	765	0.391	0.269	654.936	4.474	0	2	604	755	 	 	 	 	 
566	29	630	630	0.673	0.268	667.847	4.767	0	664	687	0.391	0.267	654.937	4.451	0	 	 	 	 	 	 	 	 
586	30	666	495	0.672	0.266	667.847	4.763	0	655	512	0.391	0.265	654.937	4.456	0	 	 	 	 	 	 	 	 
606	31	647	542	0.673	0.266	667.847	4.781	0	659	546	0.391	0.265	654.937	4.412	0	 	 	 	 	 	 	 	 
626	32	669	440	0.673	0.266	669.209	4.755	0	685	448	0.391	0.265	654.587	4.395	0	 	 	 	 	 	 	 	 
646	33	649	513	0.673	0.266	669.209	4.805	0	665	518	0.39	0.265	654.587	4.456	0	3	654	514	 	 	 	 	 
666	34	663	493	0.672	0.266	669.209	4.81	0	659	554	0.39	0.265	654.587	4.391	0	3	654	514	 	 	 	 	 
686	35	634	510	0.672	0.266	669.209	4.855	0	655	528	0.39	0.265	654.587	4.399	0	3	654	514	 	 	 	 	 
706	36	642	490	0.672	0.266	669.209	4.698	0	647	501	0.39	0.265	654.587	4.332	0	3	654	514	 	 	 	 	 
726	37	641	491	0.672	0.266	664.892	4.673	0	642	512	0.39	0.265	654.255	4.289	0	3	654	514	 	 	 	 	 
746	38	651	518	0.672	0.266	664.892	4.746	0	667	500	0.39	0.265	654.256	4.375	0	3	654	514	 	 	 	 	 
